subj	mode	order	scenario	concept	first	Yp	Yn	age	gender	race
  23	je	3	train		ml	neg	 6	7	27	Male	latino
  23	je	4	driver		ivd	neg	 4	7	27	Male	latino
  23	je	5	linebacker	ident	neg	 3	6	27	Male	latino
  23	je	1	construct	cc	pos	 5	3	27	Male	latino
  24	je	1	fire		ml	neg	 5	5	34	Male	white
  24	je	2	linebacker	hs	neg	 5	6	34	Male	white
  24	je	3	train		ident	pos	 7	5	34	Male	white
  24	je	4	driver		cc	pos	 5	5	34	Male	white
  24	je	5	construct	ivd	pos	 7	7	34	Male	white
  25	je	1	train		ivd	neg	 7	7	26	Male	white
  25	je	4	construct	cc	neg	 3	3	26	Male	white
  25	je	2	linebacker	ml	pos	 5	5	26	Male	white
  25	je	3	fire		ident	pos	 7	5	26	Male	white
  25	je	5	driver		hs	pos	 7	7	26	Male	white
  26	je	3	linebacker	ml	neg	 6	7	39	Female	latino
  26	je	4	driver		hs	neg	 7	7	39	Female	latino
  26	je	5	construct	cc	neg	 7	7	39	Female	latino
  26	je	1	train		ivd	pos	 7	7	39	Female	latino
  26	je	2	fire		ident	pos	 7	7	39	Female	latino
  27	je	1	driver		ivd	neg	 7	7	24	Male	white
  27	je	2	construct	ml	neg	 7	7	24	Male	white
  27	je	3	fire		ident	neg	 7	4	24	Male	white
  27	je	5	train		hs	neg	 6	7	24	Male	white
  27	je	4	linebacker	cc	pos	 2	6	24	Male	white
  28	je	1	fire		ivd	neg	 7	5	22	Male	white
  28	je	2	construct	ident	neg	 7	3	22	Male	white
  28	je	4	train		cc	neg	 1	6	22	Male	white
  28	je	3	linebacker	hs	pos	 2	6	22	Male	white
  28	je	5	driver		ml	pos	 1	6	22	Male	white
  29	je	1	train		hs	neg	 7	1	54	Female	white
  29	je	2	driver		ml	pos	 5	5	54	Female	white
  29	je	3	linebacker	ivd	pos	 4	4	54	Female	white
  29	je	4	construct	cc	pos	 1	1	54	Female	white
  29	je	5	fire		ident	pos	 7	1	54	Female	white
  30	se	2	fire		hs	neg	 1	7	19	Male	white
  30	se	1	linebacker	ident	pos	 6	2	19	Male	white
  30	se	3	construct	cc	pos	 1	1	19	Male	white
  30	se	4	driver		ml	pos	 2	2	19	Male	white
  30	se	5	train		ivd	pos	 7	7	19	Male	white
  31	se	2	construct	ivd	neg	 5	4	33	Male	white
  31	se	3	train		hs	neg	 7	7	33	Male	white
  31	se	1	fire		cc	pos	 6	7	33	Male	white
  31	se	4	driver		ml	pos	 6	6	33	Male	white
  31	se	5	linebacker	ident	pos	 6	4	33	Male	white
  32	je	5	train		cc	neg	 4	4	25	Male	asian
  32	je	1	construct	ivd	pos	 7	7	25	Male	asian
  32	je	2	linebacker	hs	pos	 2	6	25	Male	asian
  32	je	3	fire		ml	pos	 1	1	25	Male	asian
  32	je	4	driver		ident	pos	 7	3	25	Male	asian
  33	se	1	fire		ivd	neg	 7	6	19	Male	white
  33	se	2	train		cc	neg	 3	6	19	Male	white
  33	se	3	linebacker	ident	neg	 7	3	19	Male	white
  33	se	4	driver		ml	neg	 3	6	19	Male	white
  33	se	5	construct	hs	pos	 7	7	19	Male	white
  34	se	3	driver		ivd	neg	 7	4	25	Male	white
  34	se	1	train		ident	pos	 6	3	25	Male	white
  34	se	2	construct	hs	pos	 2	7	25	Male	white
  34	se	4	fire		cc	pos	 1	3	25	Male	white
  34	se	5	linebacker	ml	pos	 2	3	25	Male	white
  35	je	1	construct	cc	neg	 1	1	23	Male	white
  35	je	3	driver		ident	neg	 5	4	23	Male	white
  35	je	4	train		ivd	neg	 5	7	23	Male	white
  35	je	2	linebacker	hs	pos	 4	4	23	Male	white
  35	je	5	fire		ml	pos	 1	1	23	Male	white
  36	je	1	construct	hs	neg	 6	7	32	Male	white
  36	je	3	driver		cc	neg	 2	5	32	Male	white
  36	je	2	fire		ident	pos	 6	5	32	Male	white
  36	je	4	linebacker	ivd	pos	 3	3	32	Male	white
  36	je	5	train		ml	pos	 3	6	32	Male	white
  37	se	1	fire		cc	neg	 1	2	21	Female	asian
  37	se	4	train		hs	neg	 6	7	21	Female	asian
  37	se	5	construct	ident	neg	 7	6	21	Female	asian
  37	se	2	driver		ivd	pos	 7	7	21	Female	asian
  37	se	3	linebacker	ml	pos	 5	7	21	Female	asian
  38	se	1	train		hs	neg	 7	7	48	Male	white
  38	se	2	construct	ml	neg	 1	1	48	Male	white
  38	se	4	fire		ivd	neg	 7	7	48	Male	white
  38	se	5	linebacker	cc	neg	 1	6	48	Male	white
  38	se	3	driver		ident	pos	 7	4	48	Male	white
  39	se	2	driver		ivd	neg	 7	7	32	Male	white
  39	se	4	fire		hs	neg	 4	7	32	Male	white
  39	se	5	construct	cc	neg	 7	7	32	Male	white
  39	se	1	linebacker	ident	pos	 6	2	32	Male	white
  39	se	3	train		ml	pos	 5	7	32	Male	white
  40	se	2	linebacker	hs	neg	 2	6	60	Male	white
  40	se	5	driver		ivd	neg	 7	7	60	Male	white
  40	se	1	train		ident	pos	 7	5	60	Male	white
  40	se	3	fire		cc	pos	 1	2	60	Male	white
  40	se	4	construct	ml	pos	 2	2	60	Male	white
  41	je	1	fire		hs	neg	 2	7	33	Female	white
  41	je	4	driver		ident	neg	 7	5	33	Female	white
  41	je	5	linebacker	cc	neg	 4	7	33	Female	white
  41	je	2	construct	ml	pos	 4	4	33	Female	white
  41	je	3	train		ivd	pos	 7	7	33	Female	white
  42	je	4	driver		ident	neg	 7	4	32	Female	white
  42	je	5	train		ivd	neg	 3	4	32	Female	white
  42	je	1	linebacker	ml	pos	 5	4	32	Female	white
  42	je	2	fire		cc	pos	 3	4	32	Female	white
  42	je	3	construct	hs	pos	 4	3	32	Female	white
  43	se	5	train		ml	neg	 5	3	21	Male	asian
  43	se	1	construct	ivd	pos	 6	7	21	Male	asian
  43	se	2	driver		hs	pos	 7	7	21	Male	asian
  43	se	3	linebacker	ident	pos	 4	3	21	Male	asian
  43	se	4	fire		cc	pos	 1	1	21	Male	asian
  44	se	1	driver		cc	neg	 3	5	18	Male	white
  44	se	3	train		ident	neg	 7	5	18	Male	white
  44	se	5	construct	ivd	neg	 7	6	18	Male	white
  44	se	2	fire		hs	pos	 5	6	18	Male	white
  44	se	4	linebacker	ml	pos	 6	7	18	Male	white
  45	je	1	train		cc	pos	 4	4	31	Female	white
  45	je	2	construct	ml	pos	 4	4	31	Female	white
  45	je	3	fire		ivd	pos	 7	7	31	Female	white
  45	je	4	linebacker	ident	pos	 7	4	31	Female	white
  45	je	5	driver		hs	pos	 7	7	31	Female	white
  46	se	2	construct	hs	neg	 7	7	49	Male	white
  46	se	3	linebacker	ivd	neg	 7	7	49	Male	white
  46	se	4	fire		ml	neg	 1	1	49	Male	white
  46	se	5	driver		ident	neg	 7	1	49	Male	white
  46	se	1	train		cc	pos	 1	3	49	Male	white
  47	se	1	construct	ident	neg	 7	7	38	Male	white
  47	se	2	fire		ml	neg	 4	4	38	Male	white
  47	se	4	driver		hs	neg	 6	7	38	Male	white
  47	se	3	linebacker	ivd	pos	 6	6	38	Male	white
  47	se	5	train		cc	pos	 3	3	38	Male	white
  48	je	1	construct	ivd	neg	 7	7	27	Female	asian
  48	je	2	train		cc	neg	 7	7	27	Female	asian
  48	je	3	linebacker	hs	neg	 7	7	27	Female	asian
  48	je	4	fire		ml	neg	 7	7	27	Female	asian
  48	je	5	driver		ident	pos	 7	7	27	Female	asian
  49	se	1	fire		hs	neg	 5	7	40	Male	white
  49	se	3	driver		ident	neg	 7	5	40	Male	white
  49	se	2	construct	ivd	pos	 7	7	40	Male	white
  49	se	4	train		ml	pos	 2	2	40	Male	white
  49	se	5	linebacker	cc	pos	 1	4	40	Male	white
  50	je	4	construct	cc	neg	 1	1	31	Female	asian
  50	je	1	fire		hs	pos	 2	7	31	Female	asian
  50	je	2	linebacker	ml	pos	 6	3	31	Female	asian
  50	je	3	train		ident	pos	 7	6	31	Female	asian
  50	je	5	driver		ivd	pos	 7	7	31	Female	asian
  51	se	1	train		cc	neg	 5	6	34	Male	white
  51	se	2	fire		ivd	pos	 6	6	34	Male	white
  51	se	3	driver		hs	pos	 6	5	34	Male	white
  51	se	4	linebacker	ml	pos	 6	4	34	Male	white
  51	se	5	construct	ident	pos	 6	5	34	Male	white
  52	je	2	construct	cc	neg	 2	2	25	Female	white
  52	je	1	linebacker	ivd	pos	 7	6	25	Female	white
  52	je	3	fire		hs	pos	 6	7	25	Female	white
  52	je	4	train		ml	pos	 5	5	25	Female	white
  52	je	5	driver		ident	pos	 6	4	25	Female	white
  53	se	1	driver		ml	neg	 2	5	32	Male	white
  53	se	3	fire		ivd	neg	 5	1	32	Male	white
  53	se	2	linebacker	ident	pos	 5	2	32	Male	white
  53	se	4	train		hs	pos	 3	6	32	Male	white
  53	se	5	construct	cc	pos	 1	1	32	Male	white
  54	je	2	linebacker	hs	neg	 1	6	28	Male	white
  54	je	1	fire		cc	pos	 1	4	28	Male	white
  54	je	3	driver		ivd	pos	 6	5	28	Male	white
  54	je	4	construct	ident	pos	 7	1	28	Male	white
  54	je	5	train		ml	pos	 2	4	28	Male	white
  55	se	1	train		hs	neg	 6	7	22	Male	white
  55	se	2	fire		ivd	neg	 7	7	22	Male	white
  55	se	3	linebacker	ident	neg	 7	3	22	Male	white
  55	se	4	construct	cc	pos	 4	4	22	Male	white
  55	se	5	driver		ml	pos	 4	7	22	Male	white
  56	je	3	driver		ml	neg	 7	7	19	Female	white
  56	je	4	construct	ident	neg	 7	1	19	Female	white
  56	je	1	train		ivd	pos	 7	7	19	Female	white
  56	je	2	fire		cc	pos	 1	1	19	Female	white
  56	je	5	linebacker	hs	pos	 7	7	19	Female	white
  57	se	1	construct	ivd	neg	 7	7	30	Female	white
  57	se	3	driver		ident	neg	 7	2	30	Female	white
  57	se	4	linebacker	hs	neg	 3	7	30	Female	white
  57	se	2	fire		ml	pos	 1	1	30	Female	white
  57	se	5	train		cc	pos	 3	5	30	Female	white
  58	se	1	construct	ident	pos	 6	4	34	Male	white
  58	se	2	train		ml	pos	 2	2	34	Male	white
  58	se	3	fire		cc	pos	 1	1	34	Male	white
  58	se	4	driver		hs	pos	 7	7	34	Male	white
  58	se	5	linebacker	ivd	pos	 5	5	34	Male	white
  59	je	2	fire		ivd	neg	 7	7	18	Female	white
  59	je	4	linebacker	hs	neg	 7	7	18	Female	white
  59	je	1	construct	cc	pos	 2	2	18	Female	white
  59	je	3	driver		ident	pos	 6	6	18	Female	white
